"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Bucks County, PA","County or equivalent",625249,369,295,1568,1273,97,154,-57,-23
"Chester County, PA","County or equivalent",498886,1552,591,1460,869,956,232,724,5
"Delaware County, PA","County or equivalent",558979,509,417,1720,1303,107,306,-199,-15
"Montgomery County, PA","County or equivalent",799874,608,547,2317,1770,91,254,-163,-30
"Philadelphia County, PA","County or equivalent",1526006,2068,2326,5878,3552,-229,1165,-1394,-29
"Wilmington, DE-MD-NJ","Metropolitan Division",705670,542,790,2156,1366,-243,430,-673,-5
"New Castle County, DE","County or equivalent",538479,528,680,1676,996,-151,395,-546,-1
"Cecil County, MD","County or equivalent",101108,101,86,286,200,17,24,-7,-2
"Salem County, NJ","County or equivalent",66083,-87,24,194,170,-109,11,-120,-2
"Phoenix-Mesa-Glendale, AZ","Metropolitan Statistical Area",4192887,16183,7666,14202,6536,8327,3835,4492,190
"Maricopa County, AZ","County or equivalent",3817117,7717,6980,13019,6039,755,3718,-2963,-18
"Pinal County, AZ","County or equivalent",375770,8466,686,1183,497,7572,117,7455,208
"Pine Bluff, AR","Metropolitan Statistical Area",100258,-144,34,290,256,-179,10,-189,1
"Cleveland County, AR","County or equivalent",8689,8,8,20,12,1,0,1,-1
"Jefferson County, AR","County or equivalent",77435,-118,17,238,221,-137,10,-147,2
"Lincoln County, AR","County or equivalent",14134,-34,9,32,23,-43,0,-43,0
"Pittsburgh, PA","Metropolitan Statistical Area",2356285,1666,-604,6009,6613,2347,379,1968,-77
"Allegheny County, PA","County or equivalent",1223348,1485,-31,3291,3322,1540,295,1245,-24
"Armstrong County, PA","County or equivalent",68941,-48,-44,174,218,1,5,-4,-5
"Beaver County, PA","County or equivalent",170539,162,-77,434,511,242,10,232,-3
"Butler County, PA","County or equivalent",183862,175,14,450,436,171,19,152,-10
"Fayette County, PA","County or equivalent",136606,-108,-127,330,457,27,11,16,-8
"Washington County, PA","County or equivalent",207820,83,-99,506,605,190,9,181,-8
"Westmoreland County, PA","County or equivalent",365169,-83,-240,824,1064,176,30,146,-19
"Pittsfield, MA","Metropolitan Statistical Area",131219,-91,-64,277,341,-19,33,-52,-8
"Berkshire County, MA","County or equivalent",131219,-91,-64,277,341,-19,33,-52,-8
"Pocatello, ID","Metropolitan Statistical Area",90656,231,227,405,178,2,28,-26,2
"Bannock County, ID","County or equivalent",82839,181,201,371,170,-20,26,-46,0
"Power County, ID","County or equivalent",7817,50,26,34,8,22,2,20,2
"Portland-South Portland-Biddeford, ME","Metropolitan Statistical Area",514098,-359,101,1244,1143,-454,116,-570,-6
"Cumberland County, ME","County or equivalent",281674,-290,83,688,605,-376,96,-472,3
"Sagadahoc County, ME","County or equivalent",35293,-88,-11,87,98,-76,3,-79,-1
"York County, ME","County or equivalent",197131,19,29,469,440,-2,17,-19,-8
"Portland-Vancouver-Hillsboro, OR-WA","Metropolitan Statistical Area",2226009,6887,3624,7304,3680,3283,1407,1876,-20
"Clackamas County, OR","County or equivalent",375992,965,290,1001,711,686,133,553,-11
"Columbia County, OR","County or equivalent",49351,-17,19,125,106,-35,7,-42,-1
"Multnomah County, OR","County or equivalent",735334,2142,1223,2531,1308,913,483,430,6
"Washington County, OR","County or equivalent",529710,1900,1252,1927,675,655,475,180,-7
"Yamhill County, OR","County or equivalent",99193,215,130,307,177,90,29,61,-5
"Clark County, WA","County or equivalent",425363,1651,700,1392,692,953,280,673,-2
"Skamania County, WA","County or equivalent",11066,31,10,21,11,21,0,21,0
"Port St. Lucie, FL","Metropolitan Statistical Area",424107,1113,-77,1020,1097,1211,261,950,-21
"Martin County, FL","County or equivalent",146318,170,-125,292,417,310,94,216,-15
"St. Lucie County, FL","County or equivalent",277789,943,48,728,680,901,167,734,-6
"Poughkeepsie-Newburgh-Middletown, NY","Metropolitan Statistical Area",670301,989,850,1994,1144,147,406,-259,-8
"Dutchess County, NY","County or equivalent",297488,251,180,721,541,79,167,-88,-8
"Orange County, NY","County or equivalent",372813,738,670,1273,603,68,239,-171,0
"Prescott, AZ","Metropolitan Statistical Area",211033,111,-121,437,558,261,105,156,-29
"Yavapai County, AZ","County or equivalent",211033,111,-121,437,558,261,105,156,-29
"Providence-New Bedford-Fall River, RI-MA","Metropolitan Statistical Area",1600852,213,843,4283,3440,-602,779,-1381,-28
"Bristol County, MA","County or equivalent",548285,252,329,1522,1193,-65,132,-197,-12
"Bristol County, RI","County or equivalent",49875,-12,-35,98,133,26,11,15,-3
"Kent County, RI","County or equivalent",166158,-89,16,403,387,-101,45,-146,-4
"Newport County, RI","County or equivalent",82888,-41,7,183,176,-46,60,-106,-2
"Providence County, RI","County or equivalent",626667,130,531,1826,1295,-398,506,-904,-3
"Washington County, RI","County or equivalent",126979,-27,-5,251,256,-18,25,-43,-4
"Provo-Orem, UT","Metropolitan Statistical Area",526810,3295,2624,3102,478,656,248,408,15
"Juab County, UT","County or equivalent",10246,22,35,47,12,-14,1,-15,1
"Utah County, UT","County or equivalent",516564,3273,2589,3055,466,670,247,423,14
"Pueblo, CO","Metropolitan Statistical Area",159063,407,106,486,380,301,39,262,0
"Pueblo County, CO","County or equivalent",159063,407,106,486,380,301,39,262,0
"Punta Gorda, FL","Metropolitan Statistical Area",159978,146,-293,243,536,461,43,418,-22
"Charlotte County, FL","County or equivalent",159978,146,-293,243,536,461,43,418,-22
"Racine, WI","Metropolitan Statistical Area",195408,94,278,645,367,-184,49,-233,0
"Racine County, WI","County or equivalent",195408,94,278,645,367,-184,49,-233,0
"Raleigh-Cary, NC","Metropolitan Statistical Area",1130490,6807,2348,3837,1489,4376,784,3592,83
"Franklin County, NC","County or equivalent",60619,216,35,166,131,179,16,163,2
