"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Jefferson County, FL","County or equivalent",14761,0,11,30,19,-9,7,-16,-2
"Leon County, FL","County or equivalent",275487,389,333,740,407,55,132,-77,1
"Wakulla County, FL","County or equivalent",30776,80,20,78,58,59,3,56,1
"Tampa-St. Petersburg-Clearwater, FL","Metropolitan Statistical Area",2783243,4908,443,7525,7082,4550,1785,2765,-85
"Hernando County, FL","County or equivalent",172778,244,-259,351,610,512,69,443,-9
"Hillsborough County, FL","County or equivalent",1229226,4147,1599,3960,2361,2543,1056,1487,5
"Pasco County, FL","County or equivalent",464697,839,-103,1159,1262,955,257,698,-13
"Pinellas County, FL","County or equivalent",916542,-322,-794,2055,2849,540,403,137,-68
"Terre Haute, IN","Metropolitan Statistical Area",172425,9,50,483,433,-34,28,-62,-7
"Clay County, IN","County or equivalent",26890,10,15,74,59,-5,2,-7,0
"Sullivan County, IN","County or equivalent",21475,-2,-3,51,54,3,0,3,-2
"Vermillion County, IN","County or equivalent",16212,-42,-8,47,55,-33,0,-33,-1
"Vigo County, IN","County or equivalent",107848,43,46,311,265,1,26,-25,-4
"Texarkana, TX-Texarkana, AR","Metropolitan Statistical Area",136027,187,116,444,328,74,27,47,-3
"Miller County, AR","County or equivalent",43462,68,63,154,91,7,9,-2,-2
"Bowie County, TX","County or equivalent",92565,119,53,290,237,67,18,49,-1
"Toledo, OH","Metropolitan Statistical Area",651429,-279,593,2066,1473,-882,144,-1026,10
"Fulton County, OH","County or equivalent",42698,-24,28,127,99,-51,2,-53,-1
"Lucas County, OH","County or equivalent",441815,-274,473,1504,1031,-761,116,-877,14
"Ottawa County, OH","County or equivalent",41428,-25,-30,88,118,8,3,5,-3
"Wood County, OH","County or equivalent",125488,44,122,347,225,-78,23,-101,0
"Topeka, KS","Metropolitan Statistical Area",233870,357,257,758,501,107,51,56,-7
"Jackson County, KS","County or equivalent",13462,23,16,39,23,7,0,7,0
"Jefferson County, KS","County or equivalent",19126,4,11,43,32,-5,0,-5,-2
"Osage County, KS","County or equivalent",16295,-5,-7,45,52,3,1,2,-1
"Shawnee County, KS","County or equivalent",177934,342,223,613,390,123,50,73,-4
"Wabaunsee County, KS","County or equivalent",7053,-7,14,18,4,-21,0,-21,0
"Trenton-Ewing, NJ","Metropolitan Statistical Area",366513,422,418,1084,666,2,447,-445,2
"Mercer County, NJ","County or equivalent",366513,422,418,1084,666,2,447,-445,2
"Tucson, AZ","Metropolitan Statistical Area",980263,1845,976,2946,1970,921,727,194,-52
"Pima County, AZ","County or equivalent",980263,1845,976,2946,1970,921,727,194,-52
"Tulsa, OK","Metropolitan Statistical Area",937478,2645,1474,3371,1897,1175,381,794,-4
"Creek County, OK","County or equivalent",69967,174,40,211,171,133,10,123,1
"Okmulgee County, OK","County or equivalent",40069,75,27,124,97,48,0,48,0
"Osage County, OK","County or equivalent",47472,-54,13,108,95,-62,13,-75,-5
"Pawnee County, OK","County or equivalent",16577,-1,2,43,41,-2,0,-2,-1
"Rogers County, OK","County or equivalent",86905,137,100,236,136,39,17,22,-2
"Tulsa County, OK","County or equivalent",603403,2004,1195,2427,1232,811,335,476,-2
"Wagoner County, OK","County or equivalent",73085,310,97,222,125,208,6,202,5
"Tuscaloosa, AL","Metropolitan Statistical Area",219461,281,235,681,446,50,100,-50,-4
"Greene County, AL","County or equivalent",9045,-40,22,29,7,-62,0,-62,0
"Hale County, AL","County or equivalent",15760,-24,28,45,17,-52,4,-56,0
"Tuscaloosa County, AL","County or equivalent",194656,345,185,607,422,164,96,68,-4
"Tyler, TX","Metropolitan Statistical Area",209714,775,270,759,489,506,69,437,-1
"Smith County, TX","County or equivalent",209714,775,270,759,489,506,69,437,-1
"Utica-Rome, NY","Metropolitan Statistical Area",299397,-46,60,815,755,-93,81,-174,-13
"Herkimer County, NY","County or equivalent",64519,-38,-1,163,164,-31,4,-35,-6
"Oneida County, NY","County or equivalent",234878,-8,61,652,591,-62,77,-139,-7
"Valdosta, GA","Metropolitan Statistical Area",139588,505,260,514,254,239,70,169,6
"Brooks County, GA","County or equivalent",16243,-35,19,47,28,-55,6,-61,1
"Echols County, GA","County or equivalent",4034,15,11,12,1,3,11,-8,1
"Lanier County, GA","County or equivalent",10078,36,19,30,11,18,2,16,-1
"Lowndes County, GA","County or equivalent",109233,489,211,425,214,273,51,222,5
"Vallejo-Fairfield, CA","Metropolitan Statistical Area",413344,781,498,1222,724,290,388,-98,-7
"Solano County, CA","County or equivalent",413344,781,498,1222,724,290,388,-98,-7
"Victoria, TX","Metropolitan Statistical Area",115384,51,170,415,245,-118,49,-167,-1
"Calhoun County, TX","County or equivalent",21381,-24,23,69,46,-48,14,-62,1
"Goliad County, TX","County or equivalent",7210,22,8,16,8,15,0,15,-1
"Victoria County, TX","County or equivalent",86793,53,139,330,191,-85,35,-120,-1
"Vineland-Millville-Bridgeton, NJ","Metropolitan Statistical Area",156898,-43,240,570,330,-289,130,-419,6
"Cumberland County, NJ","County or equivalent",156898,-43,240,570,330,-289,130,-419,6
"Virginia Beach-Norfolk-Newport News, VA-NC","Metropolitan Statistical Area",1671683,2812,2451,5584,3133,324,1642,-1318,37
"Currituck County, NC","County or equivalent",23547,105,-4,57,61,109,8,101,0
"Gloucester County, VA","County or equivalent",36858,62,-8,85,93,71,10,61,-1
"Isle of Wight County, VA","County or equivalent",35270,29,5,80,75,26,4,22,-2
"James City County, VA","County or equivalent",67009,319,58,180,122,264,40,224,-3
"Mathews County, VA","County or equivalent",8978,-4,-6,14,20,4,4,0,-2
"Surry County, VA","County or equivalent",7058,3,10,14,4,-5,0,-5,-2
"York County, VA","County or equivalent",65464,-5,48,147,99,-55,59,-114,2
"Chesapeake city, VA","County or equivalent",222209,843,316,700,384,520,121,399,7
"Hampton city, VA","County or equivalent",137436,-108,161,442,281,-274,115,-389,5
"Newport News city, VA","County or equivalent",180719,-101,388,731,343,-507,203,-710,18
"Norfolk city, VA","County or equivalent",242803,112,444,936,492,-348,396,-744,16
"Poquoson city, VA","County or equivalent",12150,-10,6,18,12,-14,2,-16,-2
"Portsmouth city, VA","County or equivalent",95535,92,122,382,260,-26,58,-84,-4
"Suffolk city, VA","County or equivalent",84585,280,79,270,191,198,25,173,3
"Virginia Beach city, VA","County or equivalent",437994,1128,820,1506,686,306,590,-284,2
"Williamsburg city, VA","County or equivalent",14068,67,12,22,10,55,7,48,0
"Visalia-Porterville, CA","Metropolitan Statistical Area",442179,1330,1277,1938,661,51,338,-287,2
"Tulare County, CA","County or equivalent",442179,1330,1277,1938,661,51,338,-287,2
"Waco, TX","Metropolitan Statistical Area",234906,1053,360,835,475,681,114,567,12
"McLennan County, TX","County or equivalent",234906,1053,360,835,475,681,114,567,12
"Warner Robins, GA","Metropolitan Statistical Area",139900,889,254,501,247,621,95,526,14
"Houston County, GA","County or equivalent",139900,889,254,501,247,621,95,526,14
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Metropolitan Statistical Area",5582170,27113,12338,19536,7198,14574,6664,7910,201
"Bethesda-Rockville-Frederick, MD","Metropolitan Division",1205162,4465,2381,3976,1595,2097,1564,533,-13
"Frederick County, MD","County or equivalent",233385,803,371,705,334,427,151,276,5
"Montgomery County, MD","County or equivalent",971777,3662,2010,3271,1261,1670,1413,257,-18
"Washington-Arlington-Alexandria, DC-VA-MD-WV","Metropolitan Division",4377008,22648,9957,15560,5603,12477,5100,7377,214
"District of Columbia, DC","County or equivalent",601723,3189,1134,2232,1098,2025,598,1427,30
"Calvert County, MD","County or equivalent",88737,175,80,221,141,94,19,75,1
"Charles County, MD","County or equivalent",146551,552,207,441,234,339,52,287,6
"Prince George's County, MD","County or equivalent",863420,1799,1634,2945,1311,153,985,-832,12
"Arlington County, VA","County or equivalent",207627,1663,571,773,202,1074,478,596,18
"Clarke County, VA","County or equivalent",14034,38,8,34,26,31,2,29,-1
"Fairfax County, VA","County or equivalent",1081726,4209,2567,3723,1156,1654,1461,193,-12
"Fauquier County, VA","County or equivalent",65203,181,67,179,112,113,13,100,1
"Loudoun County, VA","County or equivalent",312311,2994,1037,1251,214,1911,297,1614,46
"Prince William County, VA","County or equivalent",402002,4393,1267,1609,342,3044,455,2589,82
"Spotsylvania County, VA","County or equivalent",122397,498,236,391,155,257,46,211,5
"Stafford County, VA","County or equivalent",128961,811,280,408,128,517,79,438,14
"Warren County, VA","County or equivalent",37575,113,17,106,89,95,13,82,1
"Alexandria city, VA","County or equivalent",139966,928,514,669,155,415,402,13,-1
"Fairfax city, VA","County or equivalent",22565,59,34,83,49,27,39,-12,-2
"Falls Church city, VA","County or equivalent",12332,164,22,28,6,139,20,119,3
"Fredericksburg city, VA","County or equivalent",24286,146,48,95,47,97,22,75,1
"Manassas city, VA","County or equivalent",37821,433,132,158,26,295,82,213,6
"Manassas Park city, VA","County or equivalent",14273,158,59,63,4,97,20,77,2
"Jefferson County, WV","County or equivalent",53498,145,43,151,108,100,17,83,2
"Waterloo-Cedar Falls, IA","Metropolitan Statistical Area",167819,121,145,498,353,-17,40,-57,-7
"Black Hawk County, IA","County or equivalent",131090,106,135,412,277,-23,37,-60,-6
"Bremer County, IA","County or equivalent",24276,14,-1,51,52,15,3,12,0
"Grundy County, IA","County or equivalent",12453,1,11,35,24,-9,0,-9,-1
"Wausau, WI","Metropolitan Statistical Area",134063,36,148,413,265,-111,29,-140,-1
"Marathon County, WI","County or equivalent",134063,36,148,413,265,-111,29,-140,-1
"Wenatchee-East Wenatchee, WA","Metropolitan Statistical Area",110884,457,166,389,223,293,67,226,-2
"Chelan County, WA","County or equivalent",72453,301,102,256,154,200,34,166,-1
"Douglas County, WA","County or equivalent",38431,156,64,133,69,93,33,60,-1
"Wheeling, WV-OH","Metropolitan Statistical Area",147950,-50,-90,382,472,50,9,41,-10
"Belmont County, OH","County or equivalent",70400,-46,-45,174,219,4,1,3,-5
"Marshall County, WV","County or equivalent",33107,-39,-23,80,103,-13,1,-14,-3
"Ohio County, WV","County or equivalent",44443,35,-22,128,150,59,7,52,-2
"Wichita, KS","Metropolitan Statistical Area",623061,1038,1109,2366,1257,-65,232,-297,-6
"Butler County, KS","County or equivalent",65880,68,63,200,137,6,5,1,-1
"Harvey County, KS","County or equivalent",34684,67,24,116,92,46,12,34,-3
"Sedgwick County, KS","County or equivalent",498365,936,1007,1967,960,-69,215,-284,-2
"Sumner County, KS","County or equivalent",24132,-33,15,83,68,-48,0,-48,0
"Wichita Falls, TX","Metropolitan Statistical Area",151306,172,183,499,316,-9,152,-161,-2
"Archer County, TX","County or equivalent",9054,16,13,21,8,4,1,3,-1
"Clay County, TX","County or equivalent",10752,-6,7,28,21,-12,1,-13,-1
"Wichita County, TX","County or equivalent",131500,162,163,450,287,-1,150,-151,0
"Williamsport, PA","Metropolitan Statistical Area",116111,69,-3,309,312,77,7,70,-5
"Lycoming County, PA","County or equivalent",116111,69,-3,309,312,77,7,70,-5
"Wilmington, NC","Metropolitan Statistical Area",362315,1461,176,944,768,1274,142,1132,11
"Brunswick County, NC","County or equivalent",107431,641,-12,250,262,646,41,605,7
"New Hanover County, NC","County or equivalent",202667,597,139,544,405,456,76,380,2
"Pender County, NC","County or equivalent",52217,223,49,150,101,172,25,147,2
"Winchester, VA-WV","Metropolitan Statistical Area",128472,258,113,394,281,145,43,102,0
"Frederick County, VA","County or equivalent",78305,207,84,228,144,122,15,107,1
"Winchester city, VA","County or equivalent",26203,52,44,111,67,8,28,-20,0
"Hampshire County, WV","County or equivalent",23964,-1,-15,55,70,15,0,15,-1
"Winston-Salem, NC","Metropolitan Statistical Area",477717,759,410,1437,1027,365,272,93,-16
"Davie County, NC","County or equivalent",41240,91,3,92,89,89,6,83,-1
"Forsyth County, NC","County or equivalent",350670,713,437,1143,706,287,253,34,-11
"Stokes County, NC","County or equivalent",47401,-37,-26,105,131,-9,4,-13,-2
"Yadkin County, NC","County or equivalent",38406,-8,-4,97,101,-2,9,-11,-2
"Worcester, MA","Metropolitan Statistical Area",798552,748,732,2293,1561,34,414,-380,-18
"Worcester County, MA","County or equivalent",798552,748,732,2293,1561,34,414,-380,-18
"Yakima, WA","Metropolitan Statistical Area",243231,1197,676,1109,433,514,145,369,7
"Yakima County, WA","County or equivalent",243231,1197,676,1109,433,514,145,369,7
"York-Hanover, PA","Metropolitan Statistical Area",434972,754,407,1270,863,355,106,249,-8
"York County, PA","County or equivalent",434972,754,407,1270,863,355,106,249,-8
"Youngstown-Warren-Boardman, OH-PA","Metropolitan Statistical Area",565773,-800,-223,1461,1684,-564,26,-590,-13
"Mahoning County, OH","County or equivalent",238823,-513,-140,614,754,-368,22,-390,-5
"Trumbull County, OH","County or equivalent",210312,-340,-21,566,587,-314,3,-317,-5
"Mercer County, PA","County or equivalent",116638,53,-62,281,343,118,1,117,-3
"Yuba City, CA","Metropolitan Statistical Area",166892,331,360,615,255,-30,210,-240,1
"Sutter County, CA","County or equivalent",94737,122,182,323,141,-62,144,-206,2
"Yuba County, CA","County or equivalent",72155,209,178,292,114,32,66,-34,-1
"Yuma, AZ","Metropolitan Statistical Area",195751,1080,404,751,347,672,180,492,4
"Yuma County, AZ","County or equivalent",195751,1080,404,751,347,672,180,492,4
"Abbeville, LA","Micropolitan Statistical Area",57999,87,73,199,126,15,6,9,-1
"Vermilion Parish, LA","County or equivalent",57999,87,73,199,126,15,6,9,-1
"Aberdeen, SD","Micropolitan Statistical Area",40602,114,52,133,81,63,0,63,-1
"Brown County, SD","County or equivalent",36531,107,44,121,77,63,0,63,0
"Edmunds County, SD","County or equivalent",4071,7,8,12,4,0,0,0,-1
"Aberdeen, WA","Micropolitan Statistical Area",72797,73,31,215,184,45,20,25,-3
"Grays Harbor County, WA","County or equivalent",72797,73,31,215,184,45,20,25,-3
"Ada, OK","Micropolitan Statistical Area",37492,94,46,148,102,49,5,44,-1
"Pontotoc County, OK","County or equivalent",37492,94,46,148,102,49,5,44,-1
"Adrian, MI","Micropolitan Statistical Area",99892,-130,33,261,228,-164,18,-182,1
"Lenawee County, MI","County or equivalent",99892,-130,33,261,228,-164,18,-182,1
"Alamogordo, NM","Micropolitan Statistical Area",63797,543,118,238,120,418,105,313,7
"Otero County, NM","County or equivalent",63797,543,118,238,120,418,105,313,7
"Albany-Lebanon, OR","Micropolitan Statistical Area",116672,185,68,357,289,122,19,103,-5
"Linn County, OR","County or equivalent",116672,185,68,357,289,122,19,103,-5
"Albemarle, NC","Micropolitan Statistical Area",60585,-2,8,162,154,-8,15,-23,-2
"Stanly County, NC","County or equivalent",60585,-2,8,162,154,-8,15,-23,-2
"Albert Lea, MN","Micropolitan Statistical Area",31255,-16,-1,93,94,-13,16,-29,-2
"Freeborn County, MN","County or equivalent",31255,-16,-1,93,94,-13,16,-29,-2
"Albertville, AL","Micropolitan Statistical Area",93019,184,58,323,265,130,56,74,-4
"Marshall County, AL","County or equivalent",93019,184,58,323,265,130,56,74,-4
"Alexander City, AL","Micropolitan Statistical Area",53155,-163,-10,133,143,-146,4,-150,-7
"Coosa County, AL","County or equivalent",11539,-79,-3,19,22,-70,1,-71,-6
"Tallapoosa County, AL","County or equivalent",41616,-84,-7,114,121,-76,3,-79,-1
"Alexandria, MN","Micropolitan Statistical Area",36009,-13,-12,98,110,2,1,1,-3
"Douglas County, MN","County or equivalent",36009,-13,-12,98,110,2,1,1,-3
"Alice, TX","Micropolitan Statistical Area",40838,87,65,169,104,24,3,21,-2
"Jim Wells County, TX","County or equivalent",40838,87,65,169,104,24,3,21,-2
"Allegan, MI","Micropolitan Statistical Area",111408,113,175,366,191,-60,14,-74,-2
"Allegan County, MI","County or equivalent",111408,113,175,366,191,-60,14,-74,-2
"Alma, MI","Micropolitan Statistical Area",42476,-30,6,118,112,-34,5,-39,-2
"Gratiot County, MI","County or equivalent",42476,-30,6,118,112,-34,5,-39,-2
"Alpena, MI","Micropolitan Statistical Area",29598,-55,-26,70,96,-27,3,-30,-2
"Alpena County, MI","County or equivalent",29598,-55,-26,70,96,-27,3,-30,-2
"Altus, OK","Micropolitan Statistical Area",26446,35,59,112,53,-25,25,-50,1
"Jackson County, OK","County or equivalent",26446,35,59,112,53,-25,25,-50,1
"Americus, GA","Micropolitan Statistical Area",37829,76,55,128,73,21,8,13,0
"Schley County, GA","County or equivalent",5010,4,11,14,3,-8,0,-8,1
"Sumter County, GA","County or equivalent",32819,72,44,114,70,29,8,21,-1
"Amsterdam, NY","Micropolitan Statistical Area",50219,41,15,153,138,28,9,19,-2
"Montgomery County, NY","County or equivalent",50219,41,15,153,138,28,9,19,-2
"Andrews, TX","Micropolitan Statistical Area",14786,55,41,59,18,15,9,6,-1
"Andrews County, TX","County or equivalent",14786,55,41,59,18,15,9,6,-1
"Angola, IN","Micropolitan Statistical Area",34185,-45,1,86,85,-46,0,-46,0
"Steuben County, IN","County or equivalent",34185,-45,1,86,85,-46,0,-46,0
"Arcadia, FL","Micropolitan Statistical Area",34862,88,35,104,69,54,46,8,-1
"DeSoto County, FL","County or equivalent",34862,88,35,104,69,54,46,8,-1
"Ardmore, OK","Micropolitan Statistical Area",56980,84,32,191,159,53,12,41,-1
"Carter County, OK","County or equivalent",47557,59,22,162,140,38,10,28,-1
"Love County, OK","County or equivalent",9423,25,10,29,19,15,2,13,0
"Arkadelphia, AR","Micropolitan Statistical Area",22995,-36,-3,61,64,-33,1,-34,0
"Clark County, AR","County or equivalent",22995,-36,-3,61,64,-33,1,-34,0
"Ashland, OH","Micropolitan Statistical Area",53139,13,13,149,136,4,10,-6,-4
"Ashland County, OH","County or equivalent",53139,13,13,149,136,4,10,-6,-4
"Ashtabula, OH","Micropolitan Statistical Area",101497,-30,34,303,269,-61,13,-74,-3
"Ashtabula County, OH","County or equivalent",101497,-30,34,303,269,-61,13,-74,-3
"Astoria, OR","Micropolitan Statistical Area",37039,23,-2,96,98,27,13,14,-2
"Clatsop County, OR","County or equivalent",37039,23,-2,96,98,27,13,14,-2
"Atchison, KS","Micropolitan Statistical Area",16924,-32,15,56,41,-47,1,-48,0
"Atchison County, KS","County or equivalent",16924,-32,15,56,41,-47,1,-48,0
"Athens, OH","Micropolitan Statistical Area",64757,17,18,134,116,-1,34,-35,0
"Athens County, OH","County or equivalent",64757,17,18,134,116,-1,34,-35,0
"Athens, TN","Micropolitan Statistical Area",52266,-32,-18,136,154,-11,12,-23,-3
"McMinn County, TN","County or equivalent",52266,-32,-18,136,154,-11,12,-23,-3
"Athens, TX","Micropolitan Statistical Area",78532,171,-12,223,235,184,32,152,-1
"Henderson County, TX","County or equivalent",78532,171,-12,223,235,184,32,152,-1
"Auburn, IN","Micropolitan Statistical Area",42223,33,38,134,96,-3,0,-3,-2
"DeKalb County, IN","County or equivalent",42223,33,38,134,96,-3,0,-3,-2
"Auburn, NY","Micropolitan Statistical Area",80026,-30,38,202,164,-64,4,-68,-4
"Cayuga County, NY","County or equivalent",80026,-30,38,202,164,-64,4,-68,-4
"Augusta-Waterville, ME","Micropolitan Statistical Area",122151,-20,-12,300,312,-3,13,-16,-5
"Kennebec County, ME","County or equivalent",122151,-20,-12,300,312,-3,13,-16,-5
"Austin, MN","Micropolitan Statistical Area",39163,24,33,129,96,-6,21,-27,-3
"Mower County, MN","County or equivalent",39163,24,33,129,96,-6,21,-27,-3
"Bainbridge, GA","Micropolitan Statistical Area",27842,-35,10,97,87,-46,1,-47,1
"Decatur County, GA","County or equivalent",27842,-35,10,97,87,-46,1,-47,1
"Baraboo, WI","Micropolitan Statistical Area",61976,72,62,195,133,12,16,-4,-2
"Sauk County, WI","County or equivalent",61976,72,62,195,133,12,16,-4,-2
"Barre, VT","Micropolitan Statistical Area",59534,62,30,159,129,33,8,25,-1
"Washington County, VT","County or equivalent",59534,62,30,159,129,33,8,25,-1
"Bartlesville, OK","Micropolitan Statistical Area",50976,72,20,158,138,53,13,40,-1
"Washington County, OK","County or equivalent",50976,72,20,158,138,53,13,40,-1
"Bastrop, LA","Micropolitan Statistical Area",27979,-40,28,102,74,-68,0,-68,0
"Morehouse Parish, LA","County or equivalent",27979,-40,28,102,74,-68,0,-68,0
"Batavia, NY","Micropolitan Statistical Area",60079,1,3,163,160,1,6,-5,-3
"Genesee County, NY","County or equivalent",60079,1,3,163,160,1,6,-5,-3
"Batesville, AR","Micropolitan Statistical Area",36647,77,8,110,102,69,14,55,0
"Independence County, AR","County or equivalent",36647,77,8,110,102,69,14,55,0
"Bay City, TX","Micropolitan Statistical Area",36702,61,53,128,75,10,28,-18,-2
"Matagorda County, TX","County or equivalent",36702,61,53,128,75,10,28,-18,-2
"Beatrice, NE","Micropolitan Statistical Area",22311,-10,-16,56,72,8,1,7,-2
"Gage County, NE","County or equivalent",22311,-10,-16,56,72,8,1,7,-2
"Beaver Dam, WI","Micropolitan Statistical Area",88759,-10,2,217,215,-8,4,-12,-4
"Dodge County, WI","County or equivalent",88759,-10,2,217,215,-8,4,-12,-4
"Beckley, WV","Micropolitan Statistical Area",78859,37,-6,235,241,46,7,39,-3
"Raleigh County, WV","County or equivalent",78859,37,-6,235,241,46,7,39,-3
"Bedford, IN","Micropolitan Statistical Area",46134,17,-1,128,129,21,0,21,-3
"Lawrence County, IN","County or equivalent",46134,17,-1,128,129,21,0,21,-3
"Beeville, TX","Micropolitan Statistical Area",31861,12,37,83,46,-23,2,-25,-2
"Bee County, TX","County or equivalent",31861,12,37,83,46,-23,2,-25,-2
"Bellefontaine, OH","Micropolitan Statistical Area",45858,-50,17,139,122,-67,3,-70,0
"Logan County, OH","County or equivalent",45858,-50,17,139,122,-67,3,-70,0
"Bemidji, MN","Micropolitan Statistical Area",44442,136,96,180,84,42,9,33,-2
"Beltrami County, MN","County or equivalent",44442,136,96,180,84,42,9,33,-2
"Bennettsville, SC","Micropolitan Statistical Area",28933,-45,13,76,63,-58,0,-58,0
"Marlboro County, SC","County or equivalent",28933,-45,13,76,63,-58,0,-58,0
"Bennington, VT","Micropolitan Statistical Area",37125,-26,-22,90,112,-1,2,-3,-3
"Bennington County, VT","County or equivalent",37125,-26,-22,90,112,-1,2,-3,-3
"Berlin, NH-VT","Micropolitan Statistical Area",39361,-89,-28,80,108,-60,3,-63,-1
"Coos County, NH","County or equivalent",33055,-88,-34,66,100,-53,3,-56,-1
"Essex County, VT","County or equivalent",6306,-1,6,14,8,-7,0,-7,0
"Big Rapids, MI","Micropolitan Statistical Area",42798,45,30,113,83,18,5,13,-3
"Mecosta County, MI","County or equivalent",42798,45,30,113,83,18,5,13,-3
"Big Spring, TX","Micropolitan Statistical Area",35012,0,40,119,79,-40,2,-42,0
"Howard County, TX","County or equivalent",35012,0,40,119,79,-40,2,-42,0
"Bishop, CA","Micropolitan Statistical Area",18546,-27,2,47,45,-29,3,-32,0
"Inyo County, CA","County or equivalent",18546,-27,2,47,45,-29,3,-32,0
"Blackfoot, ID","Micropolitan Statistical Area",45607,135,119,199,80,16,8,8,0
"Bingham County, ID","County or equivalent",45607,135,119,199,80,16,8,8,0
"Bloomsburg-Berwick, PA","Micropolitan Statistical Area",85562,308,-25,209,234,328,8,320,5
"Columbia County, PA","County or equivalent",67295,269,-20,157,177,283,3,280,6
"Montour County, PA","County or equivalent",18267,39,-5,52,57,45,5,40,-1
"Bluefield, WV-VA","Micropolitan Statistical Area",107342,-4,-61,315,376,61,6,55,-4
"Tazewell County, VA","County or equivalent",45078,-18,-44,118,162,27,3,24,-1
"Mercer County, WV","County or equivalent",62264,14,-17,197,214,34,3,31,-3
"Blytheville, AR","Micropolitan Statistical Area",46480,-148,32,153,121,-182,15,-197,2
"Mississippi County, AR","County or equivalent",46480,-148,32,153,121,-182,15,-197,2
"Bogalusa, LA","Micropolitan Statistical Area",47168,-99,-21,135,156,-78,2,-80,0
"Washington Parish, LA","County or equivalent",47168,-99,-21,135,156,-78,2,-80,0
"Bonham, TX","Micropolitan Statistical Area",33915,11,-19,94,113,32,11,21,-2
"Fannin County, TX","County or equivalent",33915,11,-19,94,113,32,11,21,-2
"Boone, IA","Micropolitan Statistical Area",26306,-27,-14,69,83,-12,1,-13,-1
"Boone County, IA","County or equivalent",26306,-27,-14,69,83,-12,1,-13,-1
"Boone, NC","Micropolitan Statistical Area",51079,-46,-5,85,90,-42,8,-50,1
"Watauga County, NC","County or equivalent",51079,-46,-5,85,90,-42,8,-50,1
"Borger, TX","Micropolitan Statistical Area",22150,-17,22,88,66,-40,6,-46,1
"Hutchinson County, TX","County or equivalent",22150,-17,22,88,66,-40,6,-46,1
"Bozeman, MT","Micropolitan Statistical Area",89513,103,150,274,124,-48,24,-72,1
"Gallatin County, MT","County or equivalent",89513,103,150,274,124,-48,24,-72,1
"Bradford, PA","Micropolitan Statistical Area",43450,-64,-17,122,139,-46,0,-46,-1
"McKean County, PA","County or equivalent",43450,-64,-17,122,139,-46,0,-46,-1
"Brainerd, MN","Micropolitan Statistical Area",91067,167,48,267,219,123,3,120,-4
"Cass County, MN","County or equivalent",28567,64,8,76,68,56,0,56,0
"Crow Wing County, MN","County or equivalent",62500,103,40,191,151,67,3,64,-4
"Branson, MO","Micropolitan Statistical Area",83877,226,10,215,205,218,11,207,-2
"Stone County, MO","County or equivalent",32202,5,-23,66,89,31,0,31,-3
"Taney County, MO","County or equivalent",51675,221,33,149,116,187,11,176,1
"Brenham, TX","Micropolitan Statistical Area",33718,41,14,99,85,29,15,14,-2
"Washington County, TX","County or equivalent",33718,41,14,99,85,29,15,14,-2
"Brevard, NC","Micropolitan Statistical Area",33090,-14,-22,64,86,11,8,3,-3
"Transylvania County, NC","County or equivalent",33090,-14,-22,64,86,11,8,3,-3
"Brigham City, UT","Micropolitan Statistical Area",49975,200,158,219,61,42,14,28,0
"Box Elder County, UT","County or equivalent",49975,200,158,219,61,42,14,28,0
"Brookhaven, MS","Micropolitan Statistical Area",34869,0,29,112,83,-28,6,-34,-1
"Lincoln County, MS","County or equivalent",34869,0,29,112,83,-28,6,-34,-1
"Brookings, OR","Micropolitan Statistical Area",22364,-16,-48,42,90,34,3,31,-2
"Curry County, OR","County or equivalent",22364,-16,-48,42,90,34,3,31,-2
"Brookings, SD","Micropolitan Statistical Area",31965,81,57,100,43,25,20,5,-1
"Brookings County, SD","County or equivalent",31965,81,57,100,43,25,20,5,-1
"Brownsville, TN","Micropolitan Statistical Area",18787,-18,25,55,30,-43,0,-43,0
"Haywood County, TN","County or equivalent",18787,-18,25,55,30,-43,0,-43,0
"Brownwood, TX","Micropolitan Statistical Area",38106,30,2,114,112,29,10,19,-1
"Brown County, TX","County or equivalent",38106,30,2,114,112,29,10,19,-1
"Bucyrus, OH","Micropolitan Statistical Area",43784,-29,2,119,117,-29,3,-32,-2
"Crawford County, OH","County or equivalent",43784,-29,2,119,117,-29,3,-32,-2
"Burley, ID","Micropolitan Statistical Area",43021,152,114,180,66,38,12,26,0
"Cassia County, ID","County or equivalent",22952,139,66,100,34,72,11,61,1
"Minidoka County, ID","County or equivalent",20069,13,48,80,32,-34,1,-35,-1
"Burlington, IA-IL","Micropolitan Statistical Area",47656,-37,10,126,116,-44,10,-54,-3
"Henderson County, IL","County or equivalent",7331,0,-2,12,14,3,0,3,-1
"Des Moines County, IA","County or equivalent",40325,-37,12,114,102,-47,10,-57,-2
"Butte-Silver Bow, MT","Micropolitan Statistical Area",34200,33,-5,102,107,39,9,30,-1
"Silver Bow County, MT","County or equivalent",34200,33,-5,102,107,39,9,30,-1
"Cadillac, MI","Micropolitan Statistical Area",47584,21,23,139,116,0,1,-1,-2
"Missaukee County, MI","County or equivalent",14849,-9,6,41,35,-15,1,-16,0
"Wexford County, MI","County or equivalent",32735,30,17,98,81,15,0,15,-2
